,latitud_Co,longitud_Co
1,10.0,6.0
100,15.0,11.0
105,8.0,3.0
107,9.0,5.0
108,10.0,3.0
109,11.0,3.0
112,5.0,5.0
113,6.0,6.0
114,3.0,2.0
115,10.0,5.0
119,9.0,6.0
122,10.0,6.0
124,10.0,4.0
125,7.0,5.0
128,11.0,5.0
129,6.0,5.0
130,11.0,5.0
131,11.0,4.0
134,7.0,7.0
136,8.0,4.0
137,7.0,5.0
139,12.0,6.0
14,9.0,2.0
141,7.0,5.0
142,8.0,5.0
143,8.0,3.0
147,3.0,2.0
148,4.0,3.0
149,14.0,5.0
150,9.0,4.0
151,9.0,4.0
152,4.0,8.0
154,13.0,5.0
155,10.0,5.0
156,11.0,6.0
157,6.0,3.0
16,1.0,2.0
163,11.0,6.0
165,1.0,2.0
167,5.0,2.0
169,9.0,5.0
171,9.0,6.0
175,5.0,3.0
176,10.0,1.0
177,5.0,2.0
179,2.0,7.0
18,10.0,4.0
180,10.0,6.0
181,11.0,6.0
184,10.0,5.0
188,13.0,7.0
191,1.0,2.0
192,9.0,3.0
196,4.0,2.0
197,4.0,1.0
199,4.0,1.0
202,7.0,3.0
203,9.0,3.0
204,9.0,2.0
206,9.0,6.0
209,5.0,5.0
21,6.0,4.0
210,9.0,3.0
214,4.0,3.0
216,5.0,3.0
217,4.0,1.0
219,4.0,3.0
22,15.0,12.0
224,8.0,5.0
228,5.0,2.0
232,10.0,3.0
234,17.0,16.0
238,9.0,6.0
241,2.0,1.0
243,15.0,12.0
246,14.0,9.0
249,14.0,8.0
250,8.0,7.0
255,4.0,2.0
257,9.0,4.0
259,9.0,4.0
26,14.0,8.0
262,9.0,4.0
268,9.0,4.0
269,9.0,4.0
27,5.0,5.0
29,5.0,4.0
3,13.0,7.0
32,6.0,5.0
33,6.0,5.0
34,4.0,1.0
35,4.0,1.0
37,9.0,3.0
39,9.0,3.0
4,10.0,4.0
41,6.0,5.0
42,8.0,4.0
43,11.0,5.0
45,5.0,3.0
46,5.0,1.0
48,20.0,20.0
5,1.0,2.0
50,18.0,16.0
55,14.0,6.0
56,14.0,7.0
57,4.0,3.0
58,6.0,4.0
60,5.0,5.0
62,19.0,18.0
67,3.0,3.0
69,5.0,1.0
7,12.0,5.0
70,7.0,5.0
71,3.0,3.0
73,11.0,5.0
74,9.0,5.0
75,8.0,5.0
77,9.0,5.0
78,7.0,5.0
79,4.0,3.0
80,10.0,3.0
82,14.0,9.0
84,7.0,5.0
86,13.0,6.0
87,13.0,6.0
88,12.0,6.0
89,16.0,12.0
92,6.0,3.0
95,6.0,4.0
98,4.0,1.0
